CodigoMateria,CodigoParlamentar,DataApresentacao
124792,4770,2021-04-27
124792,4770,2021-04-27
124792,2331,2021-04-27
124792,2331,2021-04-27
124793,5008,2019-03-12
124846,3634,2016-09-13
124846,3634,2016-09-13
124846,5535,2019-09-24
124867,3806,2019-05-07
124868,825,2021-08-17
124904,5635,2016-06-08
124904,5635,2016-06-08
124948,5012,2018-06-06
124950,5537,2016-03-31
125010,5533,2018-06-20
125010,5533,2018-06-20
125010,631,2018-09-05
125065,5350,2019-11-05
125065,5350,2019-11-05
125090,5959,2019-06-12
125185,825,2016-12-14
125273,5537,2017-06-13
125273,5537,2017-06-13
125328,5979,2019-08-07
125329,5953,2021-08-02
125507,635,2016-08-24
125632,4988,2016-06-29
125632,4988,2016-06-29
125632,4770,2019-06-26
125632,4770,2019-06-26
125641,391,2017-04-24
125685,3634,2018-02-07
125687,4560,2019-10-30
125687,5502,2021-09-15
125687,5502,2021-09-15
125687,5502,2021-09-15
125687,5502,2021-09-15
125687,5502,2021-09-15
125687,5502,2021-09-15
125761,825,2019-06-26
125799,5990,2020-02-05
125805,825,2016-08-24
125951,5529,2017-05-25
125966,5533,2019-02-27
125966,5533,2019-02-27
126004,3361,2017-02-13
126049,3396,2018-11-20
126049,3777,2019-07-09
126049,3777,2019-07-09
126049,3777,2019-07-09
126049,3777,2019-07-09
126049,3777,2019-08-21
126049,5926,2019-09-10
126049,3777,2019-09-24
126049,3777,2019-09-24
126049,5535,2019-11-19
126049,5422,2020-03-03
126051,470,2019-03-20
126051,5523,2019-04-24
126199,878,2016-06-29
126199,4994,2019-09-10
126231,374,2016-08-11
126231,374,2016-08-11
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,739,2016-08-24
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,3634,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,5533,2016-09-13
126231,87,2016-09-14
126231,87,2016-09-14
126231,87,2016-09-14
126231,87,2016-09-14
126231,87,2016-09-14
126231,87,2016-09-14
126231,5617,2016-09-22
126231,5617,2016-09-22
126231,5617,2016-09-22
126231,5617,2016-09-22
126231,3695,2016-09-28
126231,3695,2016-09-28
126231,3695,2016-09-28
126231,3695,2016-09-28
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5012,2016-09-29
126231,5617,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,5100,2016-09-30
126231,16,2016-09-30
126231,16,2016-09-30
126231,16,2016-09-30
126231,374,2016-10-06
126231,374,2016-10-06
126231,374,2016-10-06
126231,374,2016-10-06
126231,374,2016-10-06
126231,5116,2016-10-26
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
126231,4763,2016-10-27
